OBJECTID,SETTLEMENT,REG_NAME,DIST_NAME,X,Y,house_count,shape name
1438,Ooman,Togdheer,Sheikh,45.07069,10.04277,70,SHEIKH
1415,Qarradh,Togdheer,Sheikh,45.70608,10.05404,67,BERBERA
1727,Biyooley,Togdheer,Sheikh,45.27029,10.11463,60,BERBERA
1745,Karinta jid cad,Togdheer,Sheikh,45.48784,9.89202,56,SHEIKH
149,Bahalaley,Togdheer,Sheikh,45.4092129,10.13946065,55,BERBERA
1461,Gotin,Togdheer,Sheikh,45.12625763,10.03468843,39,SHEIKH
1470,Ceel baxay,Togdheer,Sheikh,45.55033,10.03817,36,SHEIKH
1747,Galcad,Togdheer,Sheikh,45.02943,9.92226,28,SHEIKH
1463,Garbo diir,Togdheer,Sheikh,45.10729,10.03883,28,SHEIKH
1432,Garbo raareed,Togdheer,Sheikh,45.1097,10.03416,27,SHEIKH
1738,Lafa-maroodi,Togdheer,Sheikh,45.17223,9.99683,27,SHEIKH
1740,Kulmiye,Togdheer,Sheikh,45.11721,9.95955,26,SHEIKH
1447,Geed libaax,Togdheer,Sheikh,45.18722,10.08467,24,SHEIKH
1736,Gidil,Togdheer,Sheikh,45.2606,9.99869,22,SHEIKH
1446,Kalabaydh,Togdheer,Sheikh,45.1800346,10.07364924,21,SHEIKH
1737,Cilaan gubadle,Togdheer,Sheikh,45.18594,10.00016,20,SHEIKH
1750,Kaldhadhaab,Togdheer,Sheikh,45.24689,9.96518,17,SHEIKH
1445,Qudhac dheer,Togdheer,Sheikh,45.16203415,10.03900374,15,SHEIKH
1468,Qudhaco,Togdheer,Sheikh,45.15941,10.03876,8,SHEIKH
1449,Labi raqas,Togdheer,Sheikh,45.16503768,10.07643616,7,SHEIKH
1454,Qulquda,Togdheer,Sheikh,45.21616,10.13355,6,SHEIKH
1467,Dhuumood,Togdheer,Sheikh,45.27905,10.12043,4,BERBERA
1451,Hayeeti,Togdheer,Sheikh,45.28616,10.14355,3,BERBERA
1448,Dooxada geed libaax,Togdheer,Sheikh,45.22065,10.11738,3,SHEIKH
1815,Taleex,Sool,Taleex,48.42077,9.14839,733,TALEH
1821,Arooley,Sool,Taleex,48.14656,8.85572,535,TALEH
1819,Halin,Sool,Taleex,48.62008,9.0857,376,TALEH
2164,Shaxda,Sool,Taleex,48.90337,9.17797,312,TALEH
2165,Carmo,Sool,Taleex,48.8564,9.45403,194,TALEH
2201,Yibaal,Sool,Taleex,48.89067,8.99713,150,DANGOROYO
1820,Laa-baas,Sool,Taleex,48.1174,9.28523,147,TALEH
1818,Kal-cad,Sool,Taleex,48.14137,9.17566,127,TALEH
2324,Caanalskax,Sool,Taleex,48.75019,8.83735,103,GAROWE
1812,Qawlo,Sool,Taleex,48.29991,8.98163,102,TALEH
2174,Higlo ceelcowsle,Sool,Taleex,48.85525,9.51979,99,TALEH
2179,Dhaxan,Sool,Taleex,48.99933,9.36253,75,TALEH
1817,Maysamo,Sool,Taleex,48.64081,9.10583,57,TALEH
2323,Timir,Sool,Taleex,48.79704,8.89448,57,GAROWE
1816,Buq-dheer,Sool,Taleex,48.28315,9.15588,49,TALEH
2166,Xerta kubo,Sool,Taleex,49.048,9.50043,43,GARDO
4256,Bioyooley,Bakool,Tayeeglow,44.42142,3.9359,610,TIYEGLO
4300,Mada,Bakool,Tayeeglow,44.72365,3.95513,569,TIYEGLO
4262,Dhinawe,Bakool,Tayeeglow,44.64138,3.97077,541,TIYEGLO
4288,Gudo,Bakool,Tayeeglow,44.35509,4.10561,426,TIYEGLO
4312,Gedissow/kurumrag,Bakool,Tayeeglow,44.49121,4.01633,286,TIYEGLO
4277,Balowka,Bakool,Tayeeglow,44.52439,4.01033,257,TIYEGLO
4202,Hugey,Bakool,Tayeeglow,44.47904,3.87316,230,TIYEGLO
4212,Abaq dhere,Bakool,Tayeeglow,44.36139,3.9863,220,TIYEGLO
4237,Buulo jadiid,Bakool,Tayeeglow,44.33088,4.01937,211,TIYEGLO
4207,Qarsooy,Bakool,Tayeeglow,44.43517,3.83434,195,TIYEGLO
4254,Hubudhi,Bakool,Tayeeglow,44.51143,3.86275,194,TIYEGLO
4266,Warinyey,Bakool,Tayeeglow,44.58127,4.02516,193,TIYEGLO
4285,Bakaarole,Bakool,Tayeeglow,44.36094,4.17191,191,TIYEGLO
4268,Eeli duug,Bakool,Tayeeglow,44.40719,4.12577,185,TIYEGLO
4298,Eed. kiyaal,Bakool,Tayeeglow,44.66818,4.01346,171,TIYEGLO
4261,Haaruun,Bakool,Tayeeglow,44.55421,4.01965,167,TIYEGLO
4220,Dareersin 1,Bakool,Tayeeglow,44.34958,3.91586,162,TIYEGLO
4221,Gunri,Bakool,Tayeeglow,44.31749,3.91527,153,TIYEGLO
4303,Dawle wayne,Bakool,Tayeeglow,44.37632,4.06283,149,TIYEGLO
4224,Doomar,Bakool,Tayeeglow,44.33518,4.01716,146,TIYEGLO
4215,Dudumale yeroy/ban daran,Bakool,Tayeeglow,44.34816,3.86446,144,TIYEGLO
4222,Hoobishe,Bakool,Tayeeglow,44.32348,3.91399,143,TIYEGLO
4233,Kayaane,Bakool,Tayeeglow,44.30103,3.92151,141,TIYEGLO
4199,Abaq turuuruq,Bakool,Tayeeglow,44.43131,3.92551,136,TIYEGLO
4217,Janaay,Bakool,Tayeeglow,44.37625,3.96848,133,TIYEGLO
4201,Hawaal kule/herarow,Bakool,Tayeeglow,44.45569,3.90931,129,TIYEGLO
4273,Misir,Bakool,Tayeeglow,44.59903,3.97991,129,TIYEGLO
4289,Cali makiino,Bakool,Tayeeglow,44.3777,4.07889,112,TIYEGLO
4239,Buulo yussuf/eel qaramet,Bakool,Tayeeglow,44.31047,4.02649,112,TIYEGLO
4281,Tubineey,Bakool,Tayeeglow,44.47046,4.05689,110,TIYEGLO
4198,Durey,Bakool,Tayeeglow,44.46949,3.87508,110,TIYEGLO
4242,Goobari,Bakool,Tayeeglow,44.34601,4.00122,106,TIYEGLO
4282,Shiimi,Bakool,Tayeeglow,44.53884,4.05943,100,TIYEGLO
4279,Tumaalka,Bakool,Tayeeglow,44.51977,4.07475,100,TIYEGLO
4305,Dawlo yare,Bakool,Tayeeglow,44.38709,4.05034,98,TIYEGLO
4223,Buulo jadiid,Bakool,Tayeeglow,44.33536,3.87255,92,TIYEGLO
4204,Gaalay/duqsiilow,Bakool,Tayeeglow,44.44471,3.84245,92,TIYEGLO
4213,Kormari,Bakool,Tayeeglow,44.39187,3.96158,78,TIYEGLO
4216,Dudumale wiin,Bakool,Tayeeglow,44.35271,3.85952,78,TIYEGLO
4315,Dhujo,Bakool,Tayeeglow,44.52916,4.04059,75,TIYEGLO
4313,Dheemo,Bakool,Tayeeglow,44.51857,3.8155,73,TIYEGLO
4274,Gaaslow,Bakool,Tayeeglow,44.6142,4.03124,73,TIYEGLO
4253,Abaqlow,Bakool,Tayeeglow,44.55253,3.75768,73,TIYEGLO
4249,Ruqa,Bakool,Tayeeglow,44.54199,3.83276,71,TIYEGLO
4247,Doonkus/shaatoli,Bakool,Tayeeglow,44.54457,3.78706,71,TIYEGLO
4290,Biilaley,Bakool,Tayeeglow,44.59525,3.75376,71,TIYEGLO
4196,Lowi gayloy,Bakool,Tayeeglow,44.45988,3.84627,69,TIYEGLO
4230,Hubto,Bakool,Tayeeglow,44.30212,3.96025,64,TIYEGLO
4210,Bururka/ka,Bakool,Tayeeglow,44.44606,3.83848,63,TIYEGLO
4225,Eedkiyaal dison,Bakool,Tayeeglow,44.32553,4.02261,62,TIYEGLO
4278,Aboorow,Bakool,Tayeeglow,44.4881,3.8016,59,TIYEGLO
4267,War kulunle,Bakool,Tayeeglow,44.44422,4.1004,56,TIYEGLO
4294,Dhanaawe,Bakool,Tayeeglow,44.63741,4.02538,54,TIYEGLO
4248,Libaanow,Bakool,Tayeeglow,44.56234,3.76346,53,TIYEGLO
4209,Korar,Bakool,Tayeeglow,44.39487,3.85184,50,TIYEGLO
