OBJECTID,SETTLEMENT,REG_NAME,DIST_NAME,tribe_level,percent,Source,Confidence,Tribe_name,,,
4449,Isdhoorti,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
4148,Orogley,Bakool,Xudur,1,100%,,,Rahanweyn,,,
10446,Madiini,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3996,Baagay-gaduudi,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4465,Goiweyn,Gedo,Luuq,1,100%,,,Rahanweyn,,,
7046,Caliyow-muumin,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6159,Kurtun,Bay,Diinsoor,1,100%,,,Rahanweyn,,,
9976,Boholey,Shabelle Hoose,Qoryooley,1,100%,,,Rahanweyn,,,
4331,Aleemow,Bakool,Waajid,1,100%,,,Rahanweyn,,,
3467,Sagaara-gali,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4546,Tuulo qallooc,Gedo,Belet Xaawo,1,100%,,,Rahanweyn,,,
4044,Qaydar edi,Bakool,Xudur,1,100%,,,Rahanweyn,,,
3966,Jiiro gurey,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3747,Baab,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3466,Nibkisaar,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6817,Korey,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4711,Abowiye,Gedo,Luuq,1,100%,,,Rahanweyn,,,
3492,Mursal borow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3855,Mintaanka,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10248,Barkadle wiin,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3389,Macruuf,Hiraan,Belet Weyne,1,100%,,,Rahanweyn,,,
3872,Lowi-gadud,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3790,Eddayin/mowlli,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3777,Gaanuugle,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4077,War guuda,Bakool,Xudur,1,100%,,,Rahanweyn,,,
4587,Janno gaabo,Gedo,Belet Xaawo,1,100%,,,Rahanweyn,,,
10620,Burdhijis yarey / daara-s,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
6672,Afyar,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
4584,Quracdhere,Gedo,Belet Xaawo,1,100%,,,Rahanweyn,,,
6164,Hedeey,Juba Dhexe,Saakow,1,100%,,,Rahanweyn,,,
3789,Eedin waraabow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3658,Jabriil,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
2750,Raaxoole,Hiraan,Jalalaqsi,1,100%,,,Rahanweyn,,,
3609,Misgaale,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4333,Ceel-jeedow,Bakool,Waajid,1,100%,,,Rahanweyn,,,
10260,Kor-unbood,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
10200,Ambul,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
2794,Afgooye,Hiraan,Jalalaqsi,1,100%,,,Rahanweyn,,,
4241,Wasiila,Bakool,Xudur,1,100%,,,Rahanweyn,,,
4073,Banyale,Bakool,Xudur,1,100%,,,Rahanweyn,,,
4167,Geed bured,Bakool,Xudur,1,100%,,,Rahanweyn,,,
3767,Daudow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6924,Buulo-hareriley,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4650,Hamara,Gedo,Luuq,1,100%,,,Rahanweyn,,,
3617,Masuubiye,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4355,Masirkaa,Gedo,Luuq,1,100%,,,Rahanweyn,,,
10055,Soomow,Shabelle Hoose,Wanla Weyn,1,100%,,,Rahanweyn,,,
4097,Busley,Bakool,Xudur,1,100%,,,Rahanweyn,,,
7086,War-ashoo,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4316,Arshamo,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
